Date,Matches,Champion Title,Time,Score,Channel,Status,Round
8/18/2023,إيطاليا - الدومينيكان ,كأس العالم لكرة السلة,11:00,82 - 87 ,بى ان سبورت 4 HD,انتهت,الجولة الثانية
8/18/2023,أستراليا - ألمانيا ,كأس العالم لكرة السلة,11:30,82 - 85 ,بى ان سبورت 3 HD,انتهت,الجولة الثانية
8/18/2023,الجبل الاسود - مصر ,كأس العالم لكرة السلة,11:45,89 - 74 ,بى ان سبورت 1HD,انتهت,الجولة الثانية
8/18/2023,لبنان - كندا ,كأس العالم لكرة السلة,12:45,73 - 128 ,بى ان سبورت 6 HD,انتهت,الجولة الثانية
8/18/2023,الفلبين - أنجولا ,كأس العالم لكرة السلة,15:00,70 - 80 ,بى ان سبورت 1HD,انتهت,الجولة الثانية
8/18/2023,اليابان - فنلندا ,كأس العالم لكرة السلة,15:10,98 - 88 ,بى ان سبورت HD,انتهت,الجولة الثانية
8/18/2023,ليتوانيا - المكسيك ,كأس العالم لكرة السلة,15:30,96 - 66 ,بى ان سبورت 7 HD,انتهت,الجولة الثانية
8/18/2023,فرنسا - لاتفيا ,كأس العالم لكرة السلة,16:30,86 - 88 ,بى ان سبورت 5 HD,انتهت,الجولة الثانية
8/18/2023,بيرنلي - استون فيلا ,الدوري الإنجليزي,16:00,1 - 3 ,بى ان سبورت بريميوم 2,انتهت,الأسبوع الثالث
8/18/2023,شيفيلد يونايتد - مانشستر سيتي ,الدوري الإنجليزي,16:00,1 - 2 ,بى ان سبورت بريميوم 1,انتهت,الأسبوع الثالث
8/18/2023,نيوكاسل - ليفربول ,الدوري الإنجليزي,18:30,1 - 2 ,بى ان سبورت بريميوم 1,انتهت,الأسبوع الثالث
8/18/2023,فياريال - برشلونة ,الدوري الإسباني,18:30,3 - 4 ,بى ان سبورت 1HD,انتهت,الأسبوع الثالث
8/18/2023,فالنسيا - أوساسونا ,الدوري الإسباني,20:30,1 - 2 ,بى ان سبورت 4 HD,انتهت,الأسبوع الثالث
8/18/2023,اتليتك بلباو - ريال بيتيس ,الدوري الإسباني,22:30,3 - 2 ,بى ان سبورت 1HD,الشوط الأول,الأسبوع الثالث
8/18/2023,الهدى السعودي - وفاق عين التوتة ,البطولة العربية للأندية لكرة اليد,13:00,34 - 32 ,N/A,انتهت,المركز السابع
